Complexity category;Collect mode;Tracking mode;Statistic;Subjects count;uco/observable#HTTPConnectionFacet;uco/observable#IPAddressFacet
One-Page;Micro;Strict;Mean;122,0;61,0;4,0
One-Page;Micro;Standard;Mean;134,5;63,5;7,0
Encyclopedia;Micro;Strict;Mean;99,7;46,7;6,3
Encyclopedia;Micro;Standard;Mean;311,7;127,7;41,7
Content-Heavy;Micro;Strict;Mean;86,3;37,0;6,3
Content-Heavy;Micro;Standard;Mean;143,3;60,7;14,7
One-Page;Micro;Strict;Standard deviation;58,0;32,5;1,4
One-Page;Micro;Standard;Standard deviation;77,1;36,1;5,7
Encyclopedia;Micro;Strict;Standard deviation;29,7;13,6;5,9
Encyclopedia;Micro;Standard;Standard deviation;164,7;65,0;29,6
Content-Heavy;Micro;Strict;Standard deviation;21,5;8,7;1,5
Content-Heavy;Micro;Standard;Standard deviation;81,0;35,7;9,0
