O1: req-http1270018000livroslogin
O2: req-httpsmaxcdnbootstrapcdncombootstrap400-betajsbootstrapminjs
O3: req-httpscdnjscloudflarecomajaxlibspopperjs1110umdpopperminjs
O4: req-httpscodejquerycomjquery-321slimminjs
O5: req-httpscdnjscloudflarecomajaxlibsfont-awesome5153jsallminjs
O6: clc-username-input
O7: chg-username-input
O8: clc-password-input
O9: chg-password-input
O10: clc-submit-login-btn
O11: sub-login-form
O12: req-http1270018000livroshome
O13: req-httpscodejquerycomjquery-321minjs
O14: clc-sellabook-nav
O15: req-http1270018000livrossell
O16: clc-title-input
O17: chg-title-input
O18: clc-author-input
O19: chg-author-input
O20: clc-price-input
O21: chg-price-input
O22: clc-cover-input
O23: chg-cover-input
O24: clc-submit-sellabook-btn
O25: sub-sellabook-form
O26: clc-backhome-btn
O27: req-http1270018085exploit
O28: clc-bodydivdivdivforma
O29: req-httpsaccountsgooglecomooauth2v2authclient_idredirect_uriscoperesponse_typestateaccess_type
O30: clc-bodydiv1div1div2divdiv2divdivdiv2divdiv1divform
