item,timestamp,delta_time,delta_time_level
http://graphameleon.com#TRACE_7E43F02558F15FC1AF8EE0CB23C88C19,2023-07-06 07:23:15.478000+00:00,0.076,medium
http://graphameleon.com#TRACE_691D8B6FBA58108E046DA14A9727B088,2023-07-06 07:23:15.478000+00:00,0.0,low
http://graphameleon.com#TRACE_34DF824FD5A48AD6A6AF1AE2E37A8AE2,2023-07-06 07:23:15.478000+00:00,0.0,low
http://graphameleon.com#TRACE_6E56BE127E65220F2241B11BAC3F91B1,2023-07-06 07:23:15.479000+00:00,0.001,low
http://graphameleon.com#TRACE_1C50ED4EBDD1A7177D7940C483CFC422,2023-07-06 07:23:17.124000+00:00,1.645,high
http://graphameleon.com#TRACE_7F1A7367520B46B81DD8311139BDDF6A,2023-07-06 07:23:17.166000+00:00,0.042,medium
http://graphameleon.com#TRACE_71EFF49CE177CEB259937C80D2843305,2023-07-06 07:23:18.739000+00:00,1.573,high
http://graphameleon.com#TRACE_3A263CABFB94BDAF713A575BC38F74E4,2023-07-06 07:23:19.450000+00:00,0.711,medium
http://graphameleon.com#TRACE_AD9FEDB11AF2D9B90795AFA09211F589,2023-07-06 07:23:19.578000+00:00,0.128,medium
http://graphameleon.com#TRACE_D1091DB61784064F25A0CA8A35921D94,2023-07-06 07:23:19.580000+00:00,0.002,low
http://graphameleon.com#TRACE_9DC8715CA08748726A4773074F9A9E0E,2023-07-06 07:23:19.581000+00:00,0.001,low
http://graphameleon.com#TRACE_D5C905580CA9D5ECC3C95CC94C5E23C5,2023-07-06 07:23:23.011000+00:00,3.43,high
http://graphameleon.com#TRACE_E11736E842C6D0DA4262AD53FA67879C,2023-07-06 07:23:23.023000+00:00,0.012,low
http://graphameleon.com#TRACE_7CB48E7635F9BC187DB36EB68077F084,2023-07-06 07:23:25.357000+00:00,2.334,high
http://graphameleon.com#TRACE_0A111575A94E935C99A0EB5630708863,2023-07-06 07:23:28.379000+00:00,3.022,high
http://graphameleon.com#TRACE_D8D010038FBE6982771780D3531CFA65,2023-07-06 07:23:28.499000+00:00,0.12,medium
http://graphameleon.com#TRACE_8038791DF0574A63BFC5AB287CC2846A,2023-07-06 07:23:39.651000+00:00,11.152,high
http://graphameleon.com#TRACE_94021681788E76B9C788BAA96CC9F317,2023-07-06 07:23:39.737000+00:00,0.086,medium
http://graphameleon.com#TRACE_A68544A9D81A23CEF5D5F95DB94AEA20,2023-07-06 07:23:41.654000+00:00,1.917,high
http://graphameleon.com#TRACE_B128BAF8F64A56771DDBBB1FCFF70940,2023-07-06 07:23:41.740000+00:00,0.086,medium
http://graphameleon.com#TRACE_C95D8F9FE76B20BF4A6FC8A1FAC683D2,2023-07-06 07:23:43.640000+00:00,1.9,high
http://graphameleon.com#TRACE_AA90B4347319117711BFF77DC316FF32,2023-07-06 07:23:45.077000+00:00,1.437,medium
http://graphameleon.com#TRACE_7D09E6E4D3F8983E7BBC32EDFEFFA77E,2023-07-06 07:23:45.078000+00:00,0.001,low
http://graphameleon.com#TRACE_137EB18FDB1D766C359F09FC5E25ADE2,2023-07-06 07:23:45.091000+00:00,0.013,low
http://graphameleon.com#TRACE_0C9D95C2F479ED8126EC6BA94848D9E5,2023-07-06 07:23:47.262000+00:00,2.171,high
