item,timestamp,delta_time,delta_time_level
http://graphameleon.com#TRACE_80AD28E7D98B7AA62162B88C00D58CD9,2023-07-06 07:27:42.596000+00:00,0.09,medium
http://graphameleon.com#TRACE_79201A488963C726F9831B650EB5E3EE,2023-07-06 07:27:42.596000+00:00,0.0,low
http://graphameleon.com#TRACE_E8FD77A03238C3CB4022F51546384CC9,2023-07-06 07:27:42.596000+00:00,0.0,low
http://graphameleon.com#TRACE_D3654760B9A407E8573818E4DF6757A3,2023-07-06 07:27:42.596000+00:00,0.0,low
http://graphameleon.com#TRACE_C99FC9144435AE0A97B5A8718EE839AE,2023-07-06 07:27:44.233000+00:00,1.637,medium
http://graphameleon.com#TRACE_0F1B86855EC172BA7F69B27DE2BD326E,2023-07-06 07:27:47.201000+00:00,2.968,high
http://graphameleon.com#TRACE_037078F08678E750B65E37E614B703EB,2023-07-06 07:27:47.339000+00:00,0.138,medium
http://graphameleon.com#TRACE_4FC54806D3264622EDDF7D812C810438,2023-07-06 07:27:52.212000+00:00,4.873,high
http://graphameleon.com#TRACE_8F06D551A2435DC3E06D85FBB8378598,2023-07-06 07:27:52.301000+00:00,0.089,medium
http://graphameleon.com#TRACE_7D8B0D4E1C368A648011A6C21CC38E1D,2023-07-06 07:27:52.302000+00:00,0.001,low
http://graphameleon.com#TRACE_3E6B2DF90791B2389943E24631B8F38C,2023-07-06 07:27:52.431000+00:00,0.129,medium
http://graphameleon.com#TRACE_6F2F64788F90074DBE8EDE538808E27A,2023-07-06 07:27:52.540000+00:00,0.109,medium
http://graphameleon.com#TRACE_47A8CA04DDC519900FFCDE89CCBF408E,2023-07-06 07:27:55.234000+00:00,2.694,high
http://graphameleon.com#TRACE_ED27F6D6527AE17507D2737B1ABF4D8A,2023-07-06 07:27:55.246000+00:00,0.012,low
http://graphameleon.com#TRACE_411EE25E9E2143CFC6AC81956DB4F284,2023-07-06 07:27:56.818000+00:00,1.572,medium
http://graphameleon.com#TRACE_7815BEFD2F7C41CA646991EE4C3D25F7,2023-07-06 07:28:03.279000+00:00,6.461,high
http://graphameleon.com#TRACE_791E052F3BDC8B215D6FDF8C1FEC4B3E,2023-07-06 07:28:03.374000+00:00,0.095,medium
http://graphameleon.com#TRACE_F59F5CD2AF3DB38F704950864F4C8786,2023-07-06 07:28:07.835000+00:00,4.461,high
http://graphameleon.com#TRACE_9D6EAD912F31A2E894B88CF5C08E0A71,2023-07-06 07:28:07.942000+00:00,0.107,medium
http://graphameleon.com#TRACE_F985CCDD2C3A1BF7020BE0DA6BF8AA76,2023-07-06 07:28:11.374000+00:00,3.432,high
http://graphameleon.com#TRACE_D174287E60AAB03242906F137651D529,2023-07-06 07:28:11.459000+00:00,0.085,low
http://graphameleon.com#TRACE_5B72D54FC5ADAD270704B6B22C71761A,2023-07-06 07:28:13.614000+00:00,2.155,high
http://graphameleon.com#TRACE_67A3DC564C013724C39C0951C806858F,2023-07-06 07:28:15.780000+00:00,2.166,high
http://graphameleon.com#TRACE_80BB3854CE87B842781A05BF00BDD505,2023-07-06 07:28:15.781000+00:00,0.001,low
http://graphameleon.com#TRACE_ED4B5C7ABEB05992F017E9FFEA685F25,2023-07-06 07:28:15.796000+00:00,0.015,low
http://graphameleon.com#TRACE_63A88C50DAB2AA9450EE665C2617871D,2023-07-06 07:28:18.310000+00:00,2.514,high
http://graphameleon.com#TRACE_DE45DC4D8F288BB08F5DC22062775258,2023-07-06 07:28:18.330000+00:00,0.02,low
